x,y,cluster,term,genes,cluster_label
6.427253,1.4945471,Cluster 0,Intrauterine growth retardation (HP:0001511),HES7 ESCO2 SMARCA2 SOX11 SMARCA4 NIN RFX6 OBSL1 PTF1A RB1 SMARCAL1 SMARCB1 TMEM70 DLL3 CRKL VTI1A ARVCF NKX2-5 INSR JAG1 GDF1 VPS13B IGF1 ALG1 BCR FAM111A PIK3R1 SFXN4 NODAL ZFPM2 MKS1 PDGFB GATA6 GATA5 GATA4 SMC3 BRIP1 PTDSS1 RPS19 GJA5 ALX4 PIEZO2 ATP6V0A2 NSUN2 CTC1 CDT1 RIPK4 BRAF PALB2 CDC6 H19 RAD51C LETM1 CENPJ CCDC8 FAM20C RARB RAPSN ATR MESP2 CITED2 TERC IGHMBP2 BRCA2 SHH TERT CHL1 FLVCR2 PHGDH STRA6 CEP57 PKLR WNT7A GP1BB TTC7A FIG4 KIAA0196 HYLS1 ZNF335 RAB3GAP2 RAB3GAP1 GFM1 CDKN1C GBA CTDP1 SLC20A2 HOXD13 GLI3 CHRND ADAMTSL2 LFNG IFIH1 RECQL4 NSDHL TCTN3 CHRNG EVC2 PDGFRB CRBN UQCC2 LIG4 LIFR GCK DKC1 PSAT1 BUB1B DOK7 FANCD2 TBC1D20 TUBGCP6 CNTN4 DHCR7 NHP2 RAF1 TFAP2A CHRNA1 SEMA5A CTNND2 PLOD3 IBA57 COMT HIRA LMNA SLX4 KIF5C BMPER NBN SC5D FLNB RBBP8 PCNT TTC37 FANCI FANCL SMAD4 EPHX1 FANCM FANCB TBCE FANCA FANCC USB1 FANCF FANCE DNAJC19 FANCG B3GALTL KIF2A FGFR1 STT3B SKIV2L RNASEH2A NOP10 FBN1 FGFR3 FTO BLM CUL7 SLC26A2 WHSC1 NELFA FMR1 IGF1R GLIS3 ZFP57 HHAT NIPBL PSPH TSFM KCNJ11 ABCC8 SMARCE1 HMGA2 PYCR1 PTPN11 EIF2AK3 DHCR24 SMC1A WRAP53 PEX5 MCM4 ALDH18A1 RNU4ATAC UFD1L ABCB7 SRCAP CHD7 UBR1 RTEL1 ZMPSTE24 ORC6 EMG1 RAD21 ORC1 ORC4 RBM10 ATRIP TBX2 MBTPS2 TBX1 TINF2 PDE4D PDX1 DDX11 ARID1A TBX6 ARID1B BCS1L LEMD3 TBX4 EVC ERCC1 ASXL1 ERCC4 ERCC5 ERCC2 ERCC8 TRIM37 ERCC6 RAB18 HDAC6 ABCD3 SEMA3E KANSL1 INS HDAC8 PDE6D CEP152 MAPK1 BUB3 ATP7A BUB1 ,Unresolved
5.211399,1.7017802,Cluster 0,Radioulnar synostosis (HP:0002974),LIMK1 RFC2 ESCO2 B3GAT3 PTPN11 BAZ1B BRAF A2ML1 TBX5 SMC1A DHODH CLIP2 POR TBL2 RIT1 SETBP1 KAT6B FGF10 GTF2IRD1 KRAS BCOR B4GALT7 FGFR3 RAF1 FGFR2 SOS1 GTF2I CANT1 COLEC11 SF3B4 MASP1 XYLT1 ELN LRP4 TWIST1 HOXD13 HDAC8 SMC3 HOXA11 NRAS RAD21 NIPBL SALL4 TBX22 CHSY1 PIEZO2 ,Unresolved
7.006694,1.8229966,Cluster 0,Abnormality of the astrocytes (HP:0100707),MLH1 APC CDKN2A ERBB2 MSH6 NF2 NF1 TSC2 TSC1 MSH2 PMS2 ,Unresolved
7.819028,1.0394402,Cluster 0,Meckel diverticulum (HP:0002245),FANCI FANCL FANCM FOXF1 RBM8A FANCB FANCA BRCA2 FANCC FANCF PALB2 FANCE FANCG RAD51C BRIP1 SLX4 ERCC4 FANCD2 FGFR1 GPC3 ,Unresolved
5.137083,1.47648,Cluster 0,Short nose (HP:0003196),SLC12A6 WNT5A PUS1 RPS7 LIFR GCK HIC1 DPM2 BUB1B TBC1D20 RPL26 STAMBP ROR2 NFIX LRP2 RPL11 FOXG1 LRP4 PLOD3 ZBTB24 NALCN INPPL1 YARS2 FGD1 KIAA2022 EFTUD2 LMNA NRAS ACTB CLP1 BMPER SC5D GPC4 FLNA RPL15 GPC3 FLNB GPC6 SHOC2 PAK3 MAP2K2 CD96 EPHX1 KIF22 MAP2K1 CASK COL2A1 B3GALTL RPS26 RPS29 FAM111A GGCX PRKAR1A FGFR1 IL1RAPL1 ERF ADNP CCDC22 UBA1 FBN1 FGFR2 RPS24 RPL5 BLM SLC26A2 PLA2G6 GATA1 SMC3 RPS17 GJA1 NIPBL RPS19 RPS10 ARSE ATP6V0A2 KCNJ11 ABCC8 RIPK4 DNMT3B OFD1 TMCO1 PTCH1 DHCR24 BRAF KIF7 SMC1A PAX3 MYH3 IMPAD1 FAM20C PAFAH1B1 PIGN MOCS1 MOCS2 DDR2 EDA COX7B YWHAE NPR2 FLII UBR1 ZMPSTE24 RAI1 RAD21 SHH CEP57 MBD5 POU1F1 MEF2C ADSL ATRX PDE4D WNT7A RPL35A SLC2A10 ZDHHC15 KIAA0196 SETBP1 SMOC1 TRIP11 MPLKIP AVP KRAS RAB18 RAB3GAP2 RAB3GAP1 HDAC6 CANT1 CDKN1C GBA PIGO COL11A2 EHMT1 ECE1 PTEN INS PEPD HDAC8 GLI3 ADAMTSL2 RECQL4 PUF60 TCTN3 COL11A1 AGA DIS3L2 ,Unresolved
7.801884,1.1212224,Cluster 0,Abnormality of the duodenum (HP:0002246),FANCI FANCL FANCM FOXF1 FANCB FANCA TTC7A FANCC FANCF PALB2 FANCE FANCG RAD51C MYCN ERCC4 BUB1B FANCD2 RFX6 RARB ITGA6 FBN2 SEMA3E ITGB4 CHD7 BRCA2 PLG GATA1 ACTG2 PORCN BRIP1 SALL1 SLX4 SHH CHST14 BUB3 STRA6 BUB1 CEP57 ,Unresolved
4.17501,3.1234212,Cluster 0,Microretrognathia (HP:0000308),SLC35A3 EIF4A3 ORC6 OCLN CANT1 NAA10 B3GAT3 OFD1 CHST14 PAX1 TMEM70 KIF7 ,Unresolved
6.7342563,2.1536052,Cluster 0,Homocystinuria (HP:0002156),LMBRD1 MTRR CBS ABCD4 MTHFR MTR MMACHC MMADHC HCFC1 ,Unresolved
5.264393,1.1783123,Cluster 0,Aplasia/hypoplasia of the humerus (HP:0006507),RNU4ATAC NOG RBM8A IHH IFT122 GDF5 LMBR1 TBX3 RECQL4 ZIC3 SALL4 AGPS GNPAT GSC FLNA FLNB GPC6 ATP7A ,Unresolved
4.113093,0.94264966,Cluster 0,Short humerus (HP:0005792),RNU4ATAC NOG IHH IFT122 GDF5 LMBR1 TBX3 RECQL4 ZIC3 SALL4 AGPS GNPAT GSC FLNA FLNB GPC6 ATP7A ,Unresolved
