x,y,cluster,term,genes,cluster_label
-1.1654224,8.830843,Cluster 0,R01CA116812,PIK3CA ILK MTOR TFAP2A ,Unresolved
-0.026699496,8.153582,Cluster 0,R01GM095599,TINF2 DCXR FAM118B SCTR REEP2 TMEM214 CYP2A6 SNPH C9ORF9 IRF3 SRPRB TPP1 VIMP TP53 CHMP6 MAP10 VPS4A BCL10 ODF3L2 DTX4 HID1 EGFR GRAMD3 SERP1 HMBOX1 TBK1 CLMP AKT1 NLRP4 ENKD1 ,Unresolved
-1.2817857,7.9842296,Cluster 0,T32CA009302,SMAD3 ACD FEN1P1 CD96 SMAD4 DIO3 NFKB1 DLK1 PBX1 CDC20 PIAS2 TNNT1 TCF3 PPIC TP53 FEN1 ABCB1 DCTN2 SETD7 NUMA1 LGALS3BP IQGAP1 FOXO3 FBXO43 CTGF LYL1 CDC23 GNLY FZR1 ZMIZ1 ZMIZ2 TERT CDC27 CCL5 TSPAN5 FBXO5 TSPAN6 SLC39A6 TSPAN3 EMILIN1 TSPAN4 TSPAN1 TSPAN2 KDM6B DYNC1I1 ,Unresolved
-0.07017299,10.908584,Cluster 0,R01CA116174,SSBP2 SMARCA2 SMARCA4 TP53 MIR146A ,Unresolved
-0.24718013,7.707245,Cluster 0,R01ES007685,RELA NCOR2 PON1 NCOA7 ARNT BAX AHR ,Unresolved
-0.22883916,8.5447855,Cluster 0,R01CA130948,TERT AKT1 NFKB1 MTOR ,Unresolved
-4.0925484,8.884399,Cluster 0,T32GM008181,INSR IRS1 PSEN1 PSEN2 SLC9A3R1 SLC9A3R2 OBSCN CNGA2 UBQLN2 UBQLN1 KCNJ1 KCNJ2 KCNH2 CFTR SGK1 KCNJ4 ,Unresolved
-0.35797933,8.695068,Cluster 0,T32AI007217,COL4A3 ARRB1 PIP5K1A ,Unresolved
0.063412495,9.677893,Cluster 0,T32HG000044,OCA2 HERC2 DNMT3B SRF CLPTM1L TAS2R38 FBXL17 ETS1 GABPB1 PFN1 ELK4 GABPA ,Unresolved
-0.5515347,9.141879,Cluster 0,R01CA131158,PDLIM1 LDB1 RLIM ESR1 ,Unresolved
