x,y,cluster,term,genes
8.389371,-1.3513741,Cluster 0,Cucumber intake 104210,CDH6 CREB1 PFAS ZNF184 BNIP3L KIF4B GPR75-ASB3 FBXL17 C1ORF21 GLI3 DLGAP5
7.974098,-2.111952,Cluster 0,Self-reported osteoporosis 20002 1309,AKAP11 CTNNB1 PPP6R3 MAGEB16 MEPE LRP5 WLS AQP1 WNT16
7.5133095,-1.1816427,Cluster 0,Self-reported other joint disorder 20002 1467,PGRMC2 INTU DSCAM FARP1 DCN
7.5031486,-0.81400126,Cluster 0,"Left intra-ocular pressure, Goldmann-correlated 5263 raw",MYBPC3 ANGPT1 CAV2 MYOF TMCO1 AFAP1 KERA LMO7 SMC1B TYR MADD FOXP1 KIAA1217 ST7L FER FOLH1 COL5A1 AAGAB OR4C13 MXRA8 PDE7B GAS7 MOCS1 CNIH4 MOCS2
8.58692,-2.6388018,Cluster 0,Diseases of the ear and mastoid process VIII EAR MASTOID,PTPRD ST3GAL6 URB2 CENPC
7.40198,-0.6842282,Cluster 0,"Left intra-ocular pressure, corneal-compensated 5262 raw",SFMBT1 PRRX1 COL24A1 AFAP1 SOX14 MITF ATP1B1 MADD TANC2 KIAA1217 ABCA12 ST7L CRISPLD2 C8ORF31 CDK14 PDE7B CPEB3
8.252179,-3.034227,Cluster 0,Diseases of the nervous system VI NERVOUS,EFEMP1 RP1 HEY2 GRIK2 C14ORF177 PRDM11 SNAP91 NKX2-4 SNX7
8.43038,-2.4373012,Cluster 0,Left 6mm cylindrical power 5118 raw,TCP10 TLE4 CNTN6 TMEM178B POU2AF1 OSM FRS2 MYL5 RGS9BP SRSF3 SUCLG2 SUCLG1 CNTN5
7.468181,-1.4999882,Cluster 0,Self-reported testicular cancer 20001 1045,PRTG TKTL1 DMRT1 SPRY4 RPL39 CLPTM1L
7.768933,-1.2001048,Cluster 0,Self-reported osteoarthritis 20002 1465,TRDN FRMD6 GRIK4 TGFA SLC39A8 SPATA31E1 CBLN3
7.4753346,-1.8332431,Cluster 0,Total sugars intake 100008 raw,C8ORF37 GMEB2 FMR1 C11ORF70 ITCH SDK1 ARL4C ST7L B3GALT1 RNF150 RAC3 DSC1 SMIM21
8.035176,-1.4438967,Cluster 0,Job did not involve shift work 22620 0,SH3RF3 RASA2 KIAA0556 XIRP2 CHD7 ASAP2 FKBP5 DNM1 PNPLA1
8.324912,-2.8940713,Cluster 0,Sexually molested as a child 20490,GUCY1A2 RERE ADCY1 GRID2 PDE1A PYGL MRPL39 ICAM3 TRPS1 ETS1 PCDH19 UACA CDH9 MLN CDCP1 PSG6 CBLN4 RPS24 ZNF322
8.352511,-1.1909238,Cluster 0,Shortness of breath walking on level ground 4717,DGKH ADPRHL2 DOK6 TECRL ACVR2A
7.5604906,-2.3445678,Cluster 0,Injury or trauma resulting in loss of vision 6148 3,LINGO2 PPAP2B MARK1 LYZL1
8.26949,-2.9952621,Cluster 0,Ingrowing nail L12 NAIL INGROW,TMEM132B GPR149 FAM19A5 EYS
7.7910166,-1.6512372,Cluster 0,Time to answer 4288 raw,NTNG2 CACNA1A ARRDC3 CORO7 UNC79 MAP3K7
8.029509,-1.6605866,Cluster 0,ICD10 ventral hernia K43,TMEM26 NAA40 SLC13A4 ITGB8 BANP
8.298962,-2.8650618,Cluster 0,ICD10 unknown and unspecified causes of morbidity R69,DHRS13 TBC1D4 MIS18BP1 FAM19A5
8.46554,-1.6790495,Cluster 0,Severe depression in father 20107 12,UVRAG EPHA7 MTRNR2L13 PLA2G4A SUGCT C16ORF97
8.316234,-0.8300314,Cluster 0,Left mean signal-to-noise ratio 4233 raw,HACE1 LINGO2 ECT2L CADPS C10ORF11 VWA5B1 WIPI2 LRFN5 ITGAE ITGBL1 EXOC6 LPIN2 MAD2L1 POT1 C5ORF54 ALK
8.273133,-1.5471835,Cluster 0,Leisure/social other group activity 6160 5,FBXW7 BCL11B FITM2 NMT1
7.8352065,-0.94806445,Cluster 0,Self-reported migrain 20002 1265,SLC24A3 MEF2D CALCA PRDM16 TMEM51 FHL5 MRGPRE SUGCT ZBTB20 MRPS6 GJA1 CPS1 STAT6 TRPM8 TSPAN2 SPATA31D1 ASTN2
7.461387,-0.70958596,Cluster 0,Self-reported glaucoma 20002 1277,PRTG ABCA1 LMX1B CDKN2B TMCO1 AFAP1 SIX1 CNTN4 GAS7
7.836565,-3.0679,Cluster 0,Medication gliclazide 20003 1140874744,SGCD TCF7L2 TLE1 CCND2 KCNQ1 PROX1 TJAP1 SPRY2 FAM207A SPPL3 NEUROG3
7.7677217,-2.213366,Cluster 0,Chest pain felt during physical activity 6015,STPG2 KLF12 EPHA7 GRID1 RIPK4 LHFP CADM1 PRKCE EVX1 IGFL4 TTC1 ZWINT WDR36 GABRG3 DLG1 FAM179B PXDN BPI LPHN3 FGF14 MICU1 MCPH1 FIBIN
7.93005,-2.2864501,Cluster 0,Medication diprobase cream 20003 1140878226,THEM4 SLC6A15 KCNK1 LPHN3
7.6697097,-1.7926852,Cluster 0,Uses left side of head for mobile phone 1150 1,C1QTNF4 FAM78B NLGN1 C22ORF46
7.4235783,-1.233469,Cluster 0,Medication chrondroitin product 20003 1187,PCP4L1 TPST1 AHRR
