x,y,cluster,term,genes,cluster_label
10.653881,9.969464,Cluster 0,"Ephrin receptor, transmembrane domain",EPHA6 EPHA5 EPHB6 EPHA8 EPHA7 EPHA10 EPHB1 EPHA2 EPHB3 EPHB2 EPHA1 EPHA4 EPHB4 EPHA3 ,Unresolved
10.58361,8.395667,Cluster 0,DNA/RNA non-specific endonuclease,ENDOG ENPP1 ENPP3 ENDOD1 ENPP2 EXOG ,Unresolved
9.978808,10.268796,Cluster 0,Mu homology domain,SGIP1 STON2 STON1 ARCN1 AP5M1 AP4M1 AP3M2 FCHO2 FCHO1 AP1M1 AP3M1 AP1M2 AP2M1 ,Unresolved
10.20933,9.499918,Cluster 0,Orange domain,HES7 HEY2 HEY1 HELT BHLHE40 BHLHE41 HES2 HES1 HES4 HES6 HEYL HES5 ,Unresolved
9.154797,8.624243,Cluster 0,"Reprolysin domain, adamalysin-type",ADAMDEC1 ADAM23 ADAM12 ADAM11 ADAM33 ADAM22 ADAM32 ADAM21 ADAM20 ADAM30 ADAM19 ADAM2 ADAM18 ADAM29 ADAM28 ADAM7 ADAM15 ADAM9 ADAM8 ,Unresolved
10.557627,9.915433,Cluster 0,Tyrosine-protein kinase ephrin type A/B receptor-like,EPHA6 EPHA5 EPHA8 EPHA7 TNFRSF21 TG EPHA2 EPHA1 EPHA4 EPHA3 EPHB6 EPHA10 KIAA1324L TNFRSF11B PCSK5 SCUBE3 SCUBE1 SCUBE2 KIAA1324 EPHB1 SVEP1 TNFRSF4 EPHB3 EPHB2 EPHB4 ,Unresolved
10.614704,8.440647,Cluster 0,LysM domain,OXR1 NCOA7 LYSMD3 LYSMD2 LYSMD4 LYSMD1 ,Unresolved
9.959606,9.193385,Cluster 0,"DNA binding HTH domain, Psq-type",TIGD4 TIGD3 TIGD6 JRK TIGD5 TIGD7 JRKL CENPB LCOR CENPBD1 TIGD2 LCORL TIGD1 ,Unresolved
9.280327,8.83073,Cluster 0,"Butyrophylin-like, SPRY domain",TRIM62 BTNL9 TRIM64 RFPL1 BTN3A1 RFPL2 RFPL3 TRIM60 BTN1A1 BTN3A3 BTNL3 BSPRY MID1 MID2 BTNL8 TRIM14 TRIM58 TRIM15 TRIM16 TRIM17 TRIM10 TRIM11 TRIM50 TRIM64B TRIM51 MEFV TRIM64C TRIM16L RNF39 FSD1L RFPL4B RFPL4A TRIM7 TRIM5 TRIM6 TRIM4 TRIM49 TRIM49C FSD2 TRIM49B TRIM43 TRIM43B TRIM41 SPRYD4 BTN2A2 BTN2A1 TRIM75P TRIM36 TRIML1 TRIM38 TRIML2 TRIM39 TRIM77 TRIM34 RFPL4AL1 TRIM35 TRIM72 RNF135 BTN2A3P TRIM69 TRIM25 TRIM26 TRIM27 TRIM49D1 ERMAP TRIM21 TRIM65 TRIM22 TRIM49D2 TRIM68 ,Unresolved
9.444474,8.808967,Cluster 0,"Tubulin/FtsZ, GTPase domain",TUBAL3 TUBB TUBB1 TUBD1 TUBE1 TUBG2 TUBB2A TUBA1A TUBA3C TUBG1 TUBB4B TUBB4A TUBA4B TUBA4A TUBA8 TUBB8 TUBA1C TUBA3E TUBB2B TUBA1B TUBB6 TUBA3D TUBB3 ,Unresolved
9.895559,10.23618,Cluster 0,"LRRC8, pannexin-like TM region",LRRC8A LRRC8D LRRC8E LRRC8B LRRC8C ,Unresolved
9.514402,8.634452,Cluster 0,Olduvai domain,NBPF6 NBPF3 NBPF4 NBPF9 NBPF5P PDE4DIP NBPF20 NBPF7 NBPF8 NBPF11 NBPF10 NBPF12 NBPF1 NBPF15 NBPF26 NBPF14 NBPF19 ,Unresolved
9.993372,8.14643,Cluster 0,"CENP-T/Histone H4, histone fold",HIST1H4L HIST2H4B HIST1H4A HIST2H4A HIST1H4B HIST1H4C HIST4H4 HIST1H4H HIST1H4I HIST1H4J HIST1H4K HIST1H4D HIST1H4E HIST1H4F CENPT ,Unresolved
10.901052,9.437291,Cluster 0,"Tubby, C-terminal",TUB TULP4 TULP3 TULP2 TULP1 ,Unresolved
10.059621,10.478796,Cluster 0,Glycolipid transfer protein domain,GLTPD2 GLTP PLEKHA8P1 CPTP PLEKHA8 ,Unresolved
10.621175,8.403393,Cluster 0,Occludin homology domain,OCLN ELL MARVELD2 ELL2 ELL3 OCEL1 ,Unresolved
9.532786,8.663215,Cluster 0,"Ret finger protein-like, SPRY/PRY domain",RFPL4A RFPL1 RFPL2 RFPL3 RFPL4AL1 ,Unresolved
