x,y,cluster,term,genes,cluster_label
6.4318557,4.905726,Cluster 0,hypogonadotropic hypogonadism 7 with or without anosmia,DUSP6 SEMA3E SRA1 IL17RD WDR11 FGF17 POLR3B FLRT3 AXL SPRY4 GNRHR CCDC141 FEZF1 GNRH1 ,Unresolved
6.567176,5.171651,Cluster 0,holoprosencephaly sequence,TGIF1 SHH PRRX1 SIX3 ZIC2 FGFR1 FOXH1 PTCH1 GLI2 NODAL ,Unresolved
6.5059466,5.036221,Cluster 0,hypogonadism with anosmia,PROKR2 FGF8 ANOS1 CHD7 FGFR1 PROK2 ,Unresolved
6.6452885,5.6826177,Cluster 0,wilms tumor 1,WT1 GPC4 GPC3 BRCA2 IGF2 H19 ,Unresolved
6.179428,3.1940222,Cluster 0,joubert syndrome,CPLANE1 OFD1 TTC21B RPGRIP1L KIF7 TMEM231 AHI1 TMEM138 TMEM237 TMEM67 ARL13B TMEM216 INPP5E NPHP1 TCTN3 TCTN2 TCTN1 CEP41 CC2D2A CEP290 ,Unresolved
6.4745636,3.9157534,Cluster 0,leber congenital amaurosis,GUCY2D RD3 CRB1 KCNJ13 CRX LCA5 TULP1 RPE65 SPATA7 RPGRIP1 IMPDH1 NMNAT1 RDH12 AIPL1 LRAT CEP290 ,Unresolved
6.3494368,3.344913,Cluster 0,meckel-gruber syndrome,TMEM67 TMEM216 TCTN2 NPHP3 B9D2 RPGRIP1L CC2D2A CEP290 B9D1 MKS1 ,Unresolved
6.258002,5.5523853,Cluster 0,"multiple epiphyseal dysplasia, dominant",COMP COL9A2 COL9A1 COL9A3 MATN3 ,Unresolved
6.6547837,5.6225433,Cluster 0,nephroblastoma,WT1 GPC4 GPC3 BRCA2 IGF2 H19 POU6F2 ,Unresolved
6.2946157,3.2639055,Cluster 0,nephronophthisis,INVS TMEM67 NPHP1 IFT172 NEK8 NPHP3 NPHP4 RPGRIP1L GLIS2 ,Unresolved
5.8923163,3.8851173,Cluster 0,nonsyndromic hearing loss and deafness,GRXCR1 GSDME TMC1 KCNJ10 RDX GAB1 LHFPL5 MYO7A GRHL2 POU4F3 DCDC2 MT-TS1 MYO3A CLDN14 GIPC3 MYH9 SLC26A5 SLC26A4 GPSM2 DIABLO PTPRQ ADCY1 MT-CO1 KARS1 TMPRSS3 CIB2 MIR96 OTOA MARVELD2 MYO6 MYH14 S1PR2 OTOF TECTA ESRRB WHRN WFS1 EYA4 HGF ATP2B2 LOXHD1 POU3F4 SERPINB6 DIAPH1 GJB3 TMIE GJB2 STRC P2RX2 MYO15A GJB6 ILDR1 CLPP MT-RNR1 KCNQ4 MSRB3 LRTOMT COL11A2 ACTG1 SIX1 CDC14A PCDH15 FOXI1 ESPN PJVK TRIOBP USH1C COCH TPRN CDH23 SLC17A8 CCDC50 ,Unresolved
3.8705523,4.9719954,Cluster 0,disorder of endocrine system,CYP17A1 CYP21A2 HSD3B2 STAR CYP11B1 ,Unresolved
6.191047,3.8561788,Cluster 0,"nonsyndromic hearing loss and deafness, autosomal recessive",GRXCR1 TMC1 KCNJ10 RDX GAB1 LHFPL5 MYO7A DCDC2 MYO3A CLDN14 GIPC3 SLC26A5 SLC26A4 GPSM2 PTPRQ ADCY1 KARS1 TMPRSS3 CIB2 OTOA MARVELD2 MYO6 S1PR2 OTOF TECTA ESRRB WHRN HGF ATP2B2 LOXHD1 SERPINB6 GJB3 TMIE GJB2 STRC MYO15A GJB6 ILDR1 CLPP MSRB3 LRTOMT COL11A2 CDC14A PCDH15 FOXI1 ESPN PJVK TRIOBP USH1C TPRN CDH23 ,Unresolved
5.840255,4.8643126,Cluster 0,"pituitary hormone deficiency, combined",PROP1 POU1F1 LHX4 LHX3 OTX2 ,Unresolved
6.5641,3.988421,Cluster 0,pontocerebellar hypoplasia type 2,TSEN34 TSEN15 VPS53 SEPSECS TSEN2 TSEN54 ,Unresolved
5.4660687,5.170339,Cluster 0,premature ovarian failure,NR5A1 DIAPH2 FIGLA FMR1 NOBOX FOXL2 POF1B ,Unresolved
6.1307054,3.2185922,Cluster 0,primary ciliary dyskinesia,CCDC39 RSPH4A DNAH11 DNAAF4 DNAAF3 DNAAF2 CCDC114 DNAAF1 DNAJB13 DNAAF5 CENPF RSPH3 RSPH9 NME8 ARMC4 CCDC65 DNAL1 PIH1D3 ZMYND10 SPAG1 DRC1 RSPH1 DNAH1 CCDC151 CCDC40 GAS8 CCNO DNAH5 TTC25 CCDC103 LRRC6 CFAP300 CFAP298 HYDIN DNAI1 DNAI2 ,Unresolved
6.2207456,5.3554044,Cluster 0,"pure gonadal dysgenesis 46,xy",NR5A1 MAP3K1 DHH CBX2 SRY NR0B1 ,Unresolved
6.4091063,4.295116,Cluster 0,"renal cell carcinoma, nonpapillary",FLCN HNF1A OGG1 RNF139 VHL HNF1B SLC49A4 ,Unresolved
6.1904435,3.3209527,Cluster 0,renal dysplasia and retinal aplasia,IQCB1 TRAF3IP1 NPHP1 WDR19 NPHP4 CEP290 SDCCAG8 ,Unresolved
6.5401835,3.7529187,Cluster 0,retinitis pigmentosa,SEMA4A C8ORF37 PDE6G ROM1 PCARE USH2A MERTK DHDDS RBP3 KLHL7 FAM161A MT-TI AIPL1 PRPH2 ZNF513 MT-TK MT-ND5 MT-ND6 NRL PRCD MT-TL1 SLC7A14 MT-TL2 MT-ND3 SPATA7 MT-ND4 BEST1 MT-ND1 MT-ND2 CA4 RDH12 IMPG2 CNGA1 EYS ABCA4 RPE65 TOPORS PRPF6 PRPF8 RP2 RP1 TTC8 IMPDH1 PRPF4 PRPF3 MAK CLRN1 FSCN2 SAG PRPF31 MT-CO3 KIZ RP9 SNRNP200 RGR CNGB1 CERKL CRB1 ARL6 MT-TV GUCA1B CRX NR2E3 MT-TW TULP1 RPGR RLBP1 MT-ATP6 NEK2 RHO LRAT PDE6B PDE6A PROM1 IDH3B ,Unresolved
5.9366875,4.7344694,Cluster 0,"spermatogenic failure, y-linked 2",RBMY1A1 KDM5D DDX3Y USP9Y CDY1 VCY DAZ3 DAZ2 RPS4Y2 DAZ1 HSFY1 XKRY CDY2A PRY BPY2 PRY2 ,Unresolved
6.0122495,4.8455977,Cluster 0,stickler syndrome,COL2A1 COL11A2 COL9A2 COL9A1 COL11A1 ,Unresolved
6.295961,4.4619117,Cluster 0,obesity,POMC SDC3 ENPP1 UCP3 PPARG NR0B2 ADRB2 GHRL ADRB3 CARTPT AGRP ,Unresolved
3.716525,4.8507266,Cluster 0,congenital adrenal hyperplasia,CYP17A1 CYP21A2 HSD3B2 STAR CYP11B1 ,Unresolved
6.6496863,4.3187227,Cluster 0,xeroderma pigmentosum,DDB2 ERCC1 ERCC4 ERCC5 ERCC2 ERCC3 XPA XPC POLH ,Unresolved
6.1869545,4.053717,Cluster 0,atrial fibrillation,KCNE2 ABCC9 KCNQ1 GJA5 KCNA5 KCNJ2 ,Unresolved
5.648061,4.9197416,Cluster 0,achromatopsia,PDE6H CNGB3 CNGA3 PDE6C GNAT2 ,Unresolved
6.221202,5.0922894,Cluster 0,anophthalmia-microphthalmia syndrome,RAX PAX6 CRYBA4 VAX1 PAX2 PORCN BMP4 DACH1 SOX2 GATD3A SIX6 SIX3 NHS HESX1 OTX2 BCOR IKBKG PITX3 PITX2 VSX2 TFAP2A ,Unresolved
6.10307,3.5129633,Cluster 0,bardet-biedl syndrome,MKKS BBS2 BBS1 ARL6 WDPCP CCDC28B BBS10 BBS12 TTC8 TMEM67 BBS9 BBS7 TRIM32 CEP290 SDCCAG8 BBS5 BBS4 MKS1 ,Unresolved
3.7858999,5.3926926,Cluster 1,intervertebral disc disorder,ASPN CILP COL11A1 COL9A3 THBS2 ,Unresolved
4.179175,5.3048325,Cluster 1,hirschsprung disease,RET EDNRB EDN3 GDNF ECE1 NRTN ,Unresolved
4.0788383,5.597295,Cluster 1,postmenopausal osteoporosis,COL1A2 COL1A1 CALCR PDLIM4 VDR LRP5 ,Unresolved
5.60535,5.52667,Cluster 1,neural tube defect,VANGL2 VANGL1 CCL2 FUZ TBXT ,Unresolved
5.131125,5.13398,Cluster 1,amyotrophic lateral sclerosis,SIGMAR1 FUS C9ORF72 VCP DCTN1 SOD1 FIG4 SETX VAPB ALS2 UBQLN2 ANG NEFH PRPH TARDBP SPG11 OPTN ,Unresolved
4.5665245,5.7591047,Cluster 1,"epidermolysis bullosa, junctional",COL17A1 LAMA3 LAMB3 ITGB4 LAMC2 ,Unresolved
4.5092473,5.6151834,Cluster 1,hereditary nephrotic syndrome,INF2 WT1 TRPC6 NPHS1 NPHS2 ACTN4 ,Unresolved
4.7357116,5.5619884,Cluster 1,arrhythmogenic right ventricular cardiomyopathy,RYR2 DSP TGFB3 JUP PKP2 DSG2 TMEM43 DSC2 ,Unresolved
6.188485,6.5240564,Cluster 1,noonan syndrome,NRAS RIT1 MAP2K1 PTPN11 BRAF KRAS RAF1 SOS1 ,Unresolved
5.794992,5.7571445,Cluster 1,hereditary cutaneous melanoma,MC1R CDKN2A TERT CDK4 XRCC3 MITF ,Unresolved
5.955376,6.7318783,Cluster 1,hepatocellular carcinoma,IGF2R CASP8 APC PIK3CA CTNNB1 AXIN1 MET TP53 PDGFRL ,Unresolved
4.928884,5.691104,Cluster 1,orofacial cleft,BMP4 SUMO1 IRF6 MSX1 TP63 ,Unresolved
3.943068,5.9241433,Cluster 1,familial partial lipodystrophy,LMNA LIPE PLIN1 PPARG CIDEC ,Unresolved
5.2591553,5.96865,Cluster 1,neoplasm of ovary,PRKN PIK3CA CDH1 CTNNB1 AKT1 OPCML ,Unresolved
5.50248,5.990393,Cluster 1,neoplasm of the genitourinary tract,RB1 PRKN ZFHX3 PRCC CTNNB1 BCL10 PTEN BRCA2 AR STK11 KLF6 KIT PIK3CA CDH1 MXI1 CHEK2 AKT1 MET HRAS KRAS MAD1L1 FGFR3 OPCML ,Unresolved
6.2796817,6.6867404,Cluster 1,acute myeloid leukemia,CEBPA NPM1 CHIC2 FLT3 CBFB DNMT3A NUP214 RUNX1 LPP MLF1 GATA2 ETV6 PICALM MLLT10 KIT NSD1 TERT KRAS SH3GL1 JAK2 ,Unresolved
3.9622533,5.602481,Cluster 1,thoracic aortic aneurysm and aortic dissection,SMAD3 MFAP5 ACTA2 LOX TGFBR1 MYH11 FBN1 TGFBR2 MYLK PRKG1 ,Unresolved
5.77623,6.3199253,Cluster 1,acute lymphoid leukemia,BCR GNB1 FLT3 TAL2 TAL1 NUP214 NBN ,Unresolved
5.5564733,5.615584,Cluster 1,shprintzen syndrome,DGCR2 TBX1 DGCR8 DGCR6 ESS2 ,Unresolved
5.022273,5.636146,Cluster 1,autosomal dominant non-syndromic sensorineural deafness type dfna,GSDME TMC1 WFS1 EYA4 MYO7A GRHL2 POU4F3 DIAPH1 GJB3 GJB2 P2RX2 GJB6 KCNQ4 MYH9 DIABLO COL11A2 ACTG1 SIX1 MIR96 COCH MYO6 MYH14 SLC17A8 CCDC50 TECTA ,Unresolved
5.840746,5.871541,Cluster 1,malignant melanoma of skin,MC1R CDKN2A TERT CDK4 XRCC3 MITF ,Unresolved
6.74773,6.030908,Cluster 1,carcinoma of colon,DCC MLH1 SMAD4 AXIN2 MSH2 SMAD7 MLH3 TGFBR2 APC PIK3CA DLC1 BUB1B MSH6 FGFR3 BMPR1A TP53 GALNT12 SRC CTNNB1 FLCN NRAS STK11 EPCAM POLD1 EP300 AKT1 BUB1 MUTYH PMS2 PMS1 ,Unresolved
3.9048226,5.6425514,Cluster 1,"cutis laxa, autosomal recessive",EFEMP2 PYCR1 ALDH18A1 ATP6V0A2 FBLN5 ,Unresolved
4.5891643,5.6626725,Cluster 1,adult junctional epidermolysis bullosa,COL17A1 LAMA3 LAMB3 ITGB4 LAMC2 ,Unresolved
3.98379,5.5218005,Cluster 1,osteogenesis imperfecta,COL1A2 IFITM5 COL1A1 FKBP10 CRTAP SP7 SERPINF1 SERPINH1 PPIB P3H1 ,Unresolved
3.7378345,5.541226,Cluster 1,congenital muscular dystrophy,FKRP RYR1 LAMA2 POMT1 POMT2 POMGNT1 SELENON COL6A1 COL6A3 GMPPB COL6A2 ITGA7 FKTN LARGE1 ,Unresolved
6.163077,6.6439486,Cluster 1,rasopathy,MAP2K1 PTPN11 BRAF CBL ARHGAP26 NRAS SPRED1 RIT1 NF1 HRAS KRAS SHOC2 RAF1 SOS1 ,Unresolved
5.3925242,5.6856613,Cluster 1,craniosynostosis syndrome,FGFR1 TCF12 ERF TWIST1 MSX2 FGFR3 FGFR2 ,Unresolved
5.81073,5.794368,Cluster 1,cutaneous melanoma,MC1R CDKN2A TERT CDK4 XRCC3 MITF ,Unresolved
4.8877053,5.866129,Cluster 1,congenital ichthyosis of skin,TGM1 CASP14 ABCA12 NIPAL4 LIPN ALOX12B CYP4F22 SDR9C7 PNPLA1 ALOXE3 CERS3 ,Unresolved
7.666836,5.427807,Cluster 2,non-hodgkin lymphoma,CASP10 RAD54L BCL10 PRF1 RAD54B ,Unresolved
7.651297,4.8580647,Cluster 2,hereditary paraganglioma-pheochromocytoma syndromes,MAX SDHAF2 SDHD SDHB SDHC SDHA ,Unresolved
7.972224,4.832992,Cluster 2,mitochondrial dna deletion syndromes,MGME1 DGUOK SUCLA2 RRM2B TWNK FBXL4 MPV17 SUCLG1 ,Unresolved
7.2621613,4.8118734,Cluster 2,hyperphosphatasia-intellectual disability syndrome,PIGV PGAP2 PGAP3 PIGO PIGW PIGY ,Unresolved
7.9284544,4.1938777,Cluster 2,"hepatic failure, early-onset, and neurologic disorder due to cytochrome c oxidase deficiency",COX8A MT-TS1 FASTKD2 SCO1 PET100 TACO1 COX14 COX20 MT-TN COA8 COX6B1 COX10 ,Unresolved
