x,y,cluster,term,genes
10.227169,3.150006,Cluster 0,Semliki Forest virus excised_polyprotein 1..755,STAT1 CSNK2A1 STAT3 FN1 RAD23B TERF1 VCAM1 TERF2 YWHAZ ARHGEF4 CDK2 ATM GRB2 SQSTM1 TRIB3 YWHAG SRC GSK3B YWHAE YWHAB CTNNB1 BRCA1 TARS EGFR BAG3 EP300 YWHAQ SFN YWHAH 
9.790721,2.8995583,Cluster 0,Human adenovirus 12 hexon-associated protein,APP YWHAG SRC YWHAE STAT1 YWHAB HSPA5 STAT3 CTNNB1 HSPA8 HSPA4 BRCA1 ESR1 YWHAZ UBC BAG3 EP300 YWHAQ ATM SFN TRIM28 GRB2 YWHAH 
9.246758,2.3429244,Cluster 0,Coxsackievirus A12 VP2 protein,NPM1 STAT1 CSNK2A1 STAT3 FN1 SELE VCAM1 YWHAZ TAPBP SELP CD8A ATM MASP2 GRB2 TP53 APP YWHAG SRC YWHAE YWHAB C4BPA ELAVL1 EP300 YWHAQ FLNA SFN B2M CSMD3 YWHAH CD55 
8.82477,2.3558624,Cluster 0,Human astrovirus 4 3C-like serine protease motif,APP YWHAG SRC YWHAE STAT1 YWHAB STAT3 TYSND1 HTRA3 BRCA1 ESR1 YWHAZ NR3C1 NR4A1 AR BAG3 YWHAQ VHL PPARG ATM RARA SFN GRB2 YWHAH 
10.527771,4.754202,Cluster 0,Human adenovirus 11a L3 hexon-associated protein VI,YWHAG NPM1 SRC YWHAE STAT1 YWHAB HSPA5 STAT3 CTNNB1 HSPA8 HSPA4 YWHAZ BAG3 YWHAQ ATM SFN GRB2 YWHAH 
9.416605,1.414689,Cluster 0,West Nile virus SA381/00 nucleocapsid protein,ANXA2 CDKN2A MSN RFXANK ANXA11 TAP1 ESR1 YWHAZ NFKB1 HIST2H2BE GRIN3A ASB8 GRB2 BIRC2 APP YWHAG SRC NOTCH2 YWHAE VARS YWHAB ILK CTNNB1 CUL3 CUL1 ING2 BAG3 SNX1 EP300 YWHAQ ANXA7 ANKRD52 SFN YWHAH 
8.707258,2.6731586,Cluster 0,Human astrovirus 5 nonstructural protein,APP YWHAG SRC YWHAE STAT1 YWHAB STAT3 BRCA1 ESR1 YWHAZ NR3C1 NR4A1 AR YWHAQ VHL PPARG ATM RARA SFN GRB2 YWHAH 
9.041742,2.5215983,Cluster 0,Oropouche virus full_polyprotein 1..1420 (gene: M),YWHAG SRC GSK3B YWHAE STAT1 YWHAB CSNK2A1 STAT3 LILRB1 FN1 BRCA1 ESR1 YWHAZ RBL1 YWHAQ ATM GRB2 B2M TRIB3 YWHAH 
9.17793,2.0694082,Cluster 0,Coxsackievirus A11 vp1,NPM1 STAT1 STAT3 FN1 VCAM1 YWHAZ ATP1B1 ATM GRB2 YWHAG SRC YWHAE YWHAB ICAM4 ICAM5 BRCA1 TTN ELAVL1 ICAM1 ICAM2 BAG3 EP300 YWHAQ FLNA SFN YWHAH CD55 
9.90187,4.7389345,Cluster 0,Coxsackievirus A11 2a,YWHAG NPM1 SRC YWHAE STAT1 YWHAB STAT3 PVR YWHAZ BAG3 SUMO2 YWHAQ ATM SFN GRB2 YWHAH 
