x,y,cluster,term,genes,cluster_label
3.6058753,-3.2259192,Cluster 0,"PE(18:1(11Z)/20:3(8Z,11Z,14Z)) (HMDB09035)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
2.494549,-2.718786,Cluster 0,"PE(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z)) (HMDB09331)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
4.146097,-2.798771,Cluster 0,"PE(20:3(5Z,8Z,11Z)/20:1(11Z)) (HMDB09329)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
3.3615956,-2.3970454,Cluster 0,PE(14:0/24:0) (HMDB08848),PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
3.5024426,-3.8622534,Cluster 0,"PE(22:5(4Z,7Z,10Z,13Z,16Z)/22:2(13Z,16Z)) (HMDB09635)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
2.8350728,-2.773249,Cluster 0,"PE(22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z)) (HMDB09638)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
3.2651334,-4.2900896,Cluster 0,"PE(22:5(4Z,7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) (HMDB09639)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
2.799006,-2.5748737,Cluster 0,"PE(22:5(4Z,7Z,10Z,13Z,16Z)/24:0) (HMDB09640)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
3.996011,-3.1584623,Cluster 0,"PE(22:5(4Z,7Z,10Z,13Z,16Z)/24:1(15Z)) (HMDB09641)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
3.5123742,-3.7158422,Cluster 0,"PE(20:3(5Z,8Z,11Z)/18:4(6Z,9Z,12Z,15Z)) (HMDB09327)",PLA2G2E PLA2G12B ATP8B4 PLA2G2F ATP8B3 ATP8B2 PLA2G2D PLA2G2A ATP8B1 PLA2G4A SELI PLA2G4B ATP11C ATP11B PISD ATP11A PLSCR2 PLSCR1 PLSCR4 PLSCR3 PLA2G10 PLSCR5 PEMT PLA2G1B ATP8A2 ATP8A1 ABHD4 ATP10D PLA2G3 PLA2G5 PEBP1 ATP10B ATP10A PLA2G6 PLD2 PLD1 PLD4 PLD3 PLTP NAPE-PLD CEPT1 ATP9A ,pe
