x,y,Name,Genes
2.743427,17.989374,tRNA modification (GO:0006400),SSB PUS3 NSUN2 METTL1 NSUN6 TYW5 SARS ADAT2 ADAT1 FTSJ1 TRMT1 CDKAL1 ADAT3 LRPPRC C9ORF64 QTRT2 CTU2 CTU1 KIAA1456 KARS TRMT6 QTRT1 POP1 TRMT61A AARS POP7 AARS2 TRUB1 WDR4 URM1 POP4 RPP30 PARN THUMPD1 FARS2 THG1L TRDMT1 LCMT2
1.1868974,3.2401745,minus-end-directed organelle transport along microtubule (GO:0072385),BORCS5 KIF28P ARHGAP21 COPG1 BICD1 BICD2 CDC42 RAB6A
1.1551672,1.8292458,termination of mitochondrial transcription (GO:0006393),PRMT5 TFB2M POLRMT TTF2 TTF1 MRPL12 TEFM SETX POLR2A TWNK TFAM SLC25A33 SMN1 MTERF2 MTERF1
-2.264239,0.4438477,purine nucleotide interconversion (GO:0015950),RRM2 DUT GSR RRM1 TXNRD1 NME3 NME4 CTPS2 NME6 CTPS1 NME1 NME2 DCTD NME7 RRM2B CMPK1 DTYMK AK1 AK2 AK3 TXN AK4 AK5 GLRX AK7 FHIT TYMS AK8 AK9 GUK1 NME2P1 NUDT13
3.2349465,11.431217,regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway (GO:1903381),SIGMAR1 EGLN2 EGLN3 MEF2C GRID2 KIF14 TRIM2 EIF2AK3 PARK7 PCSK9 FAIM2 GRM4 AKT1S1 NSMF NAE1 TP63
-1.3219701,6.625345,retinal metabolic process (GO:0042574),RARRES2 APOA2 APOA4 APOA1 RBP2 RDH5 AKR1B10 ALDH8A1 OPN1SW AGRN LRP2 LRP1 SDC3 SDC4 ARID4A LRP8 OPN1LW RDH12 GPC2 RDH11 RDH10 GPC1 E2F1 GPC4 GPC3 GPC6 CYP1B1 GPC5 STRA6 SDR16C5 ABCA4 AKR1C1 AKR1C4 AKR1C3 RPE65 DHRS3 HSPG2 CLPS ALDH1A1 ALDH1A3 APOC3 APOC2 OPN1MW SDC1 SDC2 PNLIP LPL NAPEPLD ADH7 PLB1 RLBP1 ADH4 TTR APOM CYP4V2 POLR2D RHO APOE LRAT BCO2 BCO1 GPIHBP1 APOB
2.3874483,22.900791,protein-tetrapyrrole linkage (GO:0017006),USP25 UBE2I USP6 RIPK3 MCRS1 SLC35A1 FBXO2 UBL4A WDYHV1 FBXO11 RABGGTB FBXW2 MMP15 PLOD1 UBE2S CPE ADPRH MAN2B1 PIGH UBE2M UBE2N CHRM3 CHRM1 UBA7 UBE2D3 RPN1 RPN2 UBE2D2 PLOD2 ARAF NEDD8 UBE2L6 LOXL2 UBE2L3 DUSP12 RABGGTA SEPHS1 PPP4R2 STK38 AKT1 AKT2 ST3GAL6 ST3GAL1 ST3GAL2 YES1 CDKL3 ATG3 ICMT PARP4 MANBA ST8SIA2 ST8SIA4 WWP2 QPCT PHKA2 GNMT MSRA CDC34 GGCX LOX PADI4 FBXL2 UBA3 UBA52 B4GALT7 CSNK1G3 ERO1B BAP1 ERO1A PRKDC PLAT FBXO22 NAGPA PHEX TGM1 SERP1 UBL5 ABL2 ABL1 ATG7 LCMT1 TGM5 LIPT1 TGM3
3.9535217,-0.87393296,negative regulation of type III interferon production (GO:0034345),RPS6KA5 IFIH1 TWSG1 RPS6KA4 DDX58 SLC11A1 GPNMB
7.960115,5.00627,regulation of translation in response to stress (GO:0043555),MTPN APP NANOS3 EIF2B4 DDX6 DDX25 RBM4B NOLC1 TSC1 FOXO3 PUM3 ATXN2 RBM3 RPS6KA1 MAPKAPK5 TCOF1 RPS6KA3 GEMIN5 EIF4E CDC123 METAP1 EIF2A
9.2950115,2.207003,mRNA processing (GO:0006397),CPSF6 SRRM4 SCAF11 HNRNPK HNRNPL XRN2 DKC1 HNRNPF SRSF4 SRSF5 HNRNPD SRSF7 SRSF9 SF3B3 SF3B4 GEMIN2 SRSF1 SRSF2 HNRNPU HNRNPR EFTUD2 DHX30 DHX33 DHX34 DHX35 DHX36 DHX37 PABPN1 PPARGC1A SF3B2 NONO RBPMS DDX54 TDRD9 TFIP11 LSM5 LSM3 PRPF8 SETX LSM7 PRPF4 PRPF3 DHX29 MPHOSPH10 DEDD2 SYNCRIP HELB ALKBH5 SNRNP70 PCBP2 DHX15 PCBP3 PRKACA APOBEC1 SON PRPF18 SFPQ RBMS1 PABPC3 PABPC4 RBMS2 H2AFB1 NUFIP1 H2AFB2 USP39 DHX8 DHX9 CELF1 CELF2 YTHDC2 SUPT4H1 BICD1 ELAVL4 PTBP1 DUSP11 ATXN1 RBM39 RNGTT SF3A2 PRMT9 SF3A3 DDX17 METTL3 THOC1 KIN NUDT21 HNRNPUL1 SNRNP40 HNRNPA2B1 HNRNPH1 NOVA1 HNRNPH3 SF3A1 AURKAIP1 AKAP8L U2AF2 DDX20 U2AF1 RBM4 RBM5 M1AP RBM3 DHX57 SRSF11 RBM6 HNRNPA0 HNRNPA1
