x,y,Name,Genes
7.0188847,-1.0292131,ACP1,INSR PDGFRB SRC CTNNB1 SLC4A1 EGFR PTK2 ZAP70 FABP4 FCGR2B AKT1 KDR ACP1 STAT5A LAT
3.4471142,1.5264001,BDP1,PSTPIP1 ABL1 FYN ARHGAP35
1.0871638,-2.5055413,CDC14A,IREB2 CDKN1B USP6NL INCENP CDH1 SETD8 CDC25A KIF23 SIRT2 MAPK6 CDC25B TP53
0.7849063,-1.5669856,CDC14B,CDH1 SETD8 CDC25A SIRT2 MAPK6 CDC25B TP53 SKP2 CDC25C
2.580997,-1.7744315,CDC25A,CUX1 CDK4 MAPK3 CDK2 CDK1 MAPK1 EGFR RAF1
2.0859716,1.5146954,CTDSP1,SMAD3 SMAD2 POLR2A SMAD1
1.0081763,2.6288457,CTDSPL,SMAD3 RB1 SMAD2 SMAD1 CAMK2G
6.6766896,2.1919749,DUPD1,MAPK3 MAPK1 MAPK14
5.085751,1.5738819,DUSP1,MAPK9 MAPK8 MAPK3 MAPK1 MAPK14
6.1576085,1.625598,DUSP10,MAPK9 MAPK8 MAPK14
7.4456754,1.3376728,DUSP14,MAPK9 MAPK3 MAPK14
5.3105006,3.0898948,DUSP22,RBM39 MAPK8 STAT3 MAPK1 MBP MAPK14
5.808724,1.0152038,DUSP26,KIFAP3 TP53 MAPK14
4.0030146,3.0074174,DUSP3,INSR PDGFRB CSN2 EGFR MAPK14 MAPK9 MAPK8 ERBB2 MAPK3 CSN1S1 MAPK1 STAT5A FGFR2
3.692071,3.1870296,DUSP4,MAPK9 MAPK3 MAPK1
5.9962373,2.9377353,DUSP9,MAPK9 MAPK8 MAPK3 MAPK1 MAPK14
2.1213012,-2.449822,PDP1,PDHA2 PDHA1 SMAD1
0.56180394,-0.86653334,PDP2,PDHA2 PDHA1 SMAD1
4.726288,0.43767926,PHLPP1,AKT3 AKT1 AKT2 PRKCB PRKCA STK4
4.7193065,3.060805,PHLPP2,AKT3 AKT1 AKT2 PRKCB PRKCA STK4
3.2049553,-0.43969232,PHPT1,ACLY HIST1H4A GNB1 KCNN4
0.8319685,2.7550797,PPM1A,SMAD3 MAP2K4 SMAD2 RIPK4 CETN1 SMAD1 MSN AXIN1 EEF2 CDC42BPB CDC42BPA MAPK14 CDK9 GRM3 IKBKB PAK2 PAK1 CDK6 PIK3R1 CDK2 MAP2K6
3.6067374,-0.41049775,PPM1B,CDK9 IKBKB CDK6 CETN1 CETN2 BAD MSN CDK2 MAP3K7
0.8463165,-2.3011827,PPM1D,CHEK1 H2AFX RPS6KA3 CHEK2 ATM UNG TP53 MDM2 MAPK14
2.7961874,2.1454222,PPM1F,PAK1 CAMK2A CAMK4 CAMK1
1.4932532,-2.4440014,PPM1G,COIL H2AFX H2A1 H2B1A SMN1 DDX20
7.353832,0.6938002,PPM1L,COL4A3BP MAP3K7 MAP3K5
2.6574154,-1.3462108,PPP1CA,NOS3 CAD RIPK4 BAD GAD2 H2AFX EIF2AK2 GAD1 PARD3 AXIN1 PRKCB CSNK1E PRKCA EIF2S1 PPP1CA PTK2 CDC25C CDK9 C16ORF82 NCOR1 MAPT SMO ATM PTPN7 TP53 RAF1 AHCYL1 RB1 PKD1 RYR1 CAMK2A AURKA LMNB1 IKZF1 BRCA1 STK3 STK4 HIST1H3A CASP9 POLD3 AKT1 CEP250 CASP2 TNNI3 MBP CAMK2G
