x,y,Name,Genes
0.12657624,35.01766,phospholipase A2 activity (GO:0004623),LYPLA2 PLA2G2E PLA2G2F PLA2G2D PLA2G2A RARRES3 DDHD1 DDHD2 PAFAH1B1 PAFAH1B3 PAFAH1B2 CES1 PNLIPRP2 NLGN2 NLGN3 NLGN1 ABHD3 PLA2G12A NLGN4X NLGN4Y PLA2G4E PNPLA8 PLA2G4F PLA2G4C PLA2G4D CEL PLA2G4A PLA2G4B CES4A PLA2G16 SEC23IP FAM135B PLA2G10 PLBD1 CES3 LYPLAL1 CES2 PNPLA3 PLA2G1B LPL CES1P1 PLA2G3 PLA2G5 PLA2G6 FAM135A LIPC CES5A PLB1 LIPG ESD LIPI LIPH 
-11.475451,-3.0382888,CCR9 chemokine receptor binding (GO:0031734),CCL26 CCL15 CCL14 CCL24 CCL13 CCL3L1 CCL22 CCL11 CCL4L1 CCL21 XCL1 CX3CL1 CCL15-CCL14 CCL8 CCRL2 XCL2 CCL1 CCL19 CCL18 CCL17 CCL16 
-8.313941,2.7162323,D-glucose transmembrane transporter activity (GO:0055056),SLC2A12 SLC2A14 SLC2A1 SLC2A13 SLC2A2 PPBP SLC2A3 SLC2A10 SLC2A4 SLC2A5 SLC2A6 SLC2A8 MFSD4A MFSD4B 
9.368869,-6.6307807,8-oxo-GDP phosphatase activity (GO:0044716),ENTPD1 ENTPD3 ENTPD4 ENTPD5 ENTPD6 ENTPD8 NUDT18 NUDT15 
3.231306,41.54205,methylene-fatty-acyl-phospholipid synthase activity (GO:0004481),PRMT7 RRP8 N6AMT1 HEMK1 NSUN5P2 ARMT1 PRMT8 NSUN5 MEPCE SUV39H1 NSUN5P1 LCMT1 LCMT2 
1.4789095,38.21096,voltage-gated proton channel activity (GO:0030171),SLC4A11 HVCN1 NOX5 HCN1 PKD2 NOX1 
5.5373096,36.723274,MAP kinase activity involved in innate immune response (GO:0038075),MAPK11 MAPK12 MAPK3 MAPK1 MAPK7 MAPK15 MAPK6 NLK MAPK13 MAPK14 MAPK4 
6.0918026,5.9577727,"3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)",PDE1B PDE1A PDE4D PDE11A PDE10A PDE3B PDE2A PDE3A PDE5A PDE6B PDE6A PDE8B PDE8A PDE9A 
-6.5782323,-0.7592759,acyl-CoA hydrolase activity (GO:0047617),ACOT9 ACOT8 ACOT11 ACOT12 ACOT13 NUDT7 THEM4 THEM5 NUDT19 ACOT2 ACOT1 ACSBG2 ACOT7 ACOT6 ACOT4 
-11.471277,-3.0364578,CCR1 chemokine receptor binding (GO:0031726),CCL26 CCL24 CCL23 CCL22 CCL21 XCL1 XCL2 CCL15 CCL14 CCL13 CCL3L1 CCL11 CCL4L1 CX3CL1 CCL15-CCL14 CCL8 CCL7 CCL5 CCRL2 CCL4 CCL3 CCL1 CCL19 CCL18 CCL17 CCL16 
