x,y,Name,Genes,Label,Color
2.9899707,6.0311594,absorptive (id:32),ABCA7 ADGB AMN ANO9 AP1G2 AQP8 ARHGAP27 B3GALT4 B3GNT7 BEST2 BEST4 C10orf95 C22orf15 C9orf24 CAPN10 CAPS CCDC153 CCDC17 CFAP100 CFAP73 CFAP99 CHKB CHP2 CLUHP3 CNGA4 CROCC CROCC2 DNAH1 DNAI2 DNAJB13 DRC3 ELMO3 ERN2 FABP2 FAM3D FAM83E FCGBP FUT3 GIPR GOLGA2P5 GPA33 GPR35 GSDMB GUCA2A HHLA2 KRTCAP3 LDLRAD1 LGALS9B LGALS9C LMNTD2 LPCAT4 LRRC56 MEP1A MFSD6L MROH3P MS4A12 MS4A8 MUC20 MYO1A NAALADL1 NHLRC4 OSBPL7 PDZD3 PLA2G10 PPP1R14D PPP1R32 PYY REC8 RETNLB SAP25 SLC23A1 SLC25A47P1 SLC9A3 SMIM22 SMPD3 ST6GALNAC1 TJP3 TMEM190 TMIGD1 TTC21A TTC22 UCN3 VILL VWA7,Other,-1
6.4268026,3.5082548,abt entry (id:33),ACAP1 AIF1 ALOX5AP ANKRD44 AOAH APBB1IP ARHGAP15 ARHGAP25 ARHGAP30 ARHGAP9 BIN2 CCR9 CD2 CD244 CD247 CD28 CD300A CD3D CD3E CD40LG CD48 CD5 CD52 CD53 CD6 CD69 CEACAM21 CHI3L2 CORO1A CYTH4 CYTIP DOCK2 DOK2 EVI2A EVI2B FGR GIMAP1 GIMAP4 GIMAP5 GIMAP6 GIMAP7 GIMAP8 GMFG GNLY GPR174 GPR65 GRAP2 GVINP1 GZMA GZMK HCLS1 ICOS IKZF1 IL10RA IL16 IL2RG ITGAL ITM2A JAML KCNA3 LAPTM5 LCP2 LSP1 LTB MYO1G NCKAP1L NKG7 NLRC3 P2RY10 P2RY8 PARVG PIK3R5 PLEK PRF1 PSTPIP1 PTPRC PTPRCAP PYHIN1 RASAL3 RCSD1 RPS4Y1 SAMSN1 SASH3 SATB1 SELL SELPLG SH2D1A SIRPG SIT1 SLA SLAMF1 SLAMF6 SNX20 TAGAP TBC1D10C TBX21 THEMIS TNFAIP8L2 TNFSF8 TOX2 TRAC TRAF3IP3 TRAT1 TRBC1 TRBC2 UBASH3A ZAP70,T-cells,4
9.2009735,3.9032493,activated dc (id:34),ACP5 ADAMDEC1 AIF1 ALOX5AP AQP9 B2M BASP1 BCL2A1 C1QA C1QB C3AR1 CAPG CARD16 CASP1 CCL17 CCL19 CCL3 CCL3L3 CCL4 CCL4L2 CCL8 CCR1 CCR5 CCRL2 CD14 CD300A CD300C CD40 CD48 CD68 CD74 CD86 CLEC10A CSF2RB CTSS CXCL10 CXCL9 CYBB EBI3 EPSTI1 ERICH1 FCER1G FCGR3A FGR FPR3 FSCN1 GBP1 GBP2 GPR84 HCK HLA-B HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB3 HLA-E HOPX ICAM1 IDO1 IER3 IFI30 IL12B IL1B IL1RN IL4I1 ITGAX ITGB2 KIF2A LAPTM5 LGALS9 LILRB1 LILRB2 LSP1 LY86 LY96 MARCKSL1 MIR155HG MMP9 MNDA MPEG1 MS4A4A MS4A7 MT2A NCF1 NCF1B NCF1C NCF2 NCF4 NUB1 PILRA PLEK PPA1 PSMB9 PTAFR RASSF4 RNASE6 RTP4 SIGLEC1 SIGLEC7 SIGLEC9 SLAMF7 SLAMF8 SLC15A3 SPI1 SRGN STX11 TFEC TFPI2 THEMIS2 TIFAB TLR8 TMEM176A TMEM176B TNF TNFAIP2 TNFRSF1B TNFSF13B TREM1 TXN TYMP,Other,-1
5.108573,5.4559054,adipocyte (id:35),ABL1 ACACA AKAP1 ALDH4A1 ANKRD13B ARHGAP35 ARHGEF17 B4GALT2 BCAR1 BOK CAD CASKIN2 CDON CEP170B CKAP5 CLUH DAB2IP DAG1 DHCR24 DLG5 DVL1 EIF4G1 FASN FAT1 FKBP10 FZD4 GCN1 GCSH GLIS2 GNA11 GPAM GPC1 GPT2 GYG2 HDLBP HSPA12A ITGA7 JADE3 KCTD3 KIF7 LEP LRP5 LRP6 LSS LVRN MAGI1 MEGF8 MEX3D MMP15 MTA1 MTHFD1 MTOR MYH10 NAT8L NFE2L1 NLGN2 NR2F6 PACSIN3 PC PCYOX1 PLEKHH3 PLIN1 PLXNA1 PLXNB1 PNPLA3 POLR1A PRKDC PTPN11 PTPN21 PTPRF PTPRU RAB23 RAC3 RAD23B RBFOX2 RHBDF1 RTKN SCARB1 SCD SCRIB SIK2 SIX5 SLC25A10 SREBF1 TBC1D16 TCAF1 TEAD1 THRSP TLN2 TNKS1BP1 TNPO2 UBFD1 URB1 VKORC1L1 YWHAG ZC3H7B ZFYVE9 ZNF512B ZNF629,White Blood Cells,-1
5.236158,0.40017977,afferent arteriole endothelial cell (id:39),ADAMTS6 ADAMTSL1 ADGRL4 AFAP1L1 AMOTL2 ANGPTL2 ANTXR1 AXL BGN BICC1 C1QTNF1 C1QTNF5 C1R C1S CALD1 CAV1 CAV2 CCDC80 CDH11 CHST3 CNN3 COL12A1 COL16A1 COL1A1 COL1A2 COL3A1 COL4A1 COL4A2 COL5A1 COL5A2 CRIM1 CRYAB DCN DDR2 DKK3 EDNRA EFEMP1 EGFR EHD2 FAM114A1 FAP FAT4 FBLN5 FBN1 FERMT2 FIBIN FKBP9 FN1 FSTL1 GJA1 GJA5 GNG12 HSPG2 HTRA1 ISLR ITGBL1 LAMA2 LAMA4 LAMB1 LOX LTBP2 LUM MCAM MEDAG MMP2 NNMT NTN4 OSMR PALLD PALMD PAPPA PARVA PLAT PLOD2 PLS3 PLSCR4 POSTN PPP1R3C PRRX1 PTPN21 PTPRM RBMS3 S100A16 SCARA3 SERPINE2 SH3D19 SNAI2 SRPX SRPX2 SVEP1 SYDE1 SYNC TEK TIMP3 TM4SF1 TMEM47 TNS2 TPM1 UACA VEGFC WWTR1,T-cells,4
3.444435,1.2250805,airway smooth muscle (id:41),ABCA8 ACTA2 ACTG2 ADAM33 ADAMTS2 ADAMTS5 ADGRL4 AEBP1 ANGPTL2 AQP1 ASPN BGN C1QTNF5 C1R C1S C7 CCDC80 CCL21 CD248 CDH11 CLEC14A CNN1 COL14A1 COL15A1 COL1A1 COL1A2 COL3A1 COL6A2 COL6A3 COX7A1 CPXM2 CRYAB CXCL12 DAAM2 DCN DES DPT EFEMP2 ELN FBLN2 FBLN5 FBN1 FIBIN FILIP1L FMOD FNDC1 HEPH HSPB2 HSPB2-C11orf52 HSPB6 HSPB7 ISLR ITGA11 ITGA8 LAMA2 LAMA4 LDB2 LIMS2 LMOD1 LRRC32 LUM MEDAG MFAP4 MGP MRGPRF MXRA5 MYH11 MYL9 MYLK MYOCD OLFML1 OLFML3 PAMR1 PDGFRA PDGFRB PLAC9 PLN PODN POSTN PRELP PRRX1 PTGIS RASL12 RHOJ SERPING1 SGCD SLIT3 SOD3 SPARC SSC5D SULF1 SYNPO2 TAGLN TEK THBS2 THY1 TNS1 VCAM1,Smooth Muscle,6
9.740553,3.8844783,alveolar macrophage (id:42),A2M ACVRL1 ADAMDEC1 ADAP2 ADORA3 AIF1 AQP9 C1QA C1QB C1QC C2 C3AR1 CCL13 CCL14 CCL18 CCL8 CCR1 CCR5 CD14 CD163 CD209 CD36 CD4 CD84 CD86 CD93 CLEC10A CLEC1A CLEC5A CMKLR1 CSF1R CTSS CXCL9 CYBB F13A1 FABP4 FCER1G FCGR2A FCGR2B FCGR2C FCGR3A FGD2 FGL2 FOLR2 FPR3 GIMAP4 GIMAP5 GIMAP6 GIMAP7 GIMAP8 GPR34 HAVCR2 HCK HK3 HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HPGDS IGSF6 ITGAM ITGAX LILRB2 LILRB4 LILRB5 LYVE1 LYZ MARCO MNDA MPEG1 MRC1 MS4A14 MS4A4A MS4A6A MS4A7 MSR1 PECAM1 PLA2G7 PLVAP RNASE1 RNASE6 SIGLEC1 SIGLEC7 SIGLEC9 SLA SLAMF8 SLCO2B1 SPI1 STAB1 TFEC TLR8 TMEM176A TMEM176B TMIGD3 TREM2 TYROBP VSIG4 VWF WDFY4,White Blood Cells,7
3.896909,2.9182396,arterial endothelial cell (id:45),ACVRL1 ADAMTS1 ADAMTS9 ADGRF5 ADGRL2 ADGRL4 ANGPTL2 APLNR AQP1 ARHGEF15 BGN BMX C1QTNF5 CALD1 CCDC3 CDH11 CDH5 CLEC14A COL14A1 COL1A2 COL21A1 COL3A1 COL4A1 COL4A2 COL5A2 CXCL12 CYYR1 DCN DKK2 DPT DPYSL3 ECSCR EDNRA EDNRB EFEMP1 EFNB2 FAT4 FBN1 FBXL7 FIBIN FMOD FRZB FSTL1 GJA1 GJA4 GJA5 HEPH HMCN1 HTRA1 IGFBP5 IL33 ISLR ITGA9 KDR LAMA4 LDB2 LMOD1 LUM LYVE1 MEDAG MEOX2 MMP2 MMRN2 MXRA5 NES OLFML3 PARD3B PCDH18 PDGFRA PDZRN3 PLPP3 PLSCR4 PLXNA2 POSTN PRKG1 PRRX1 PTPN21 PTPRB RAMP2 RASL12 RGS5 RHOJ ROBO4 RUNX1T1 SFRP1 SHROOM4 SLCO2A1 SLIT2 SMOC2 SOX17 SPARC SPARCL1 SRPX SULF1 TDRD10 TEK TIMP3 TMEM100 TMEM47 VWF,Other,-1
3.9613948,3.0655115,arteriole endothelial cell (id:46),A2M ABCA8 ACKR1 ACVRL1 ADCY4 ADGRF5 ADGRL4 ADH1B ANGPT2 APLNR AQP1 ARHGEF15 ASPN BCL6B BGN C1QA C1QB C1QC C1QTNF5 C7 CALCRL CCL14 CCL21 CD34 CD93 CDH5 CLDN5 CLEC14A CLEC3B COL15A1 COX4I2 COX7A1 CPA3 CYYR1 DCN DPT ECSCR ELN EMCN ERG ESAM FABP4 FAM107A FGD5 FHL5 FLT1 FMO2 FMOD GALNT15 GGT5 GJA4 GPIHBP1 GPR4 GSTM5 HPGDS ITGA8 ITGA9 ITIH5 KDR LCN6 LDB2 LRRC32 LYVE1 MEOX2 MGP MMRN1 MMRN2 MRC1 MYCT1 MYH11 NOTCH4 PCDH12 PECAM1 PLVAP PODN PRELP PREX2 PTPRB RAMP2 RAMP3 REM1 RGS5 RHOJ RNASE1 ROBO4 SELE SHE SHROOM4 SOX17 SPARCL1 STAB1 SYNPO2 TDRD10 TEK TIE1 TPSAB1 TPSB2 VSTM4 VWF,Other,-1
4.846703,4.9652495,ascending thin limb cell (id:48),ADCY6 ADGRL2 AIF1L AMOTL2 ANO1 ARFGEF3 ARHGEF16 ASS1 ATP1B1 BCAM BCAR1 C11orf52 CADPS2 CAP2 CASKIN2 CDS1 CEP170B CGNL1 CLCNKA CLDN3 COBL COL4A5 CPE CRYAB CYP4X1 DAB2IP DDAH1 DDR1 DSP EFS EGFR ENAH EPB41L1 EPB41L4B FAM189A2 FGFR3 FLRT3 FRAS1 GALNT18 GAREM1 GNG12 GPRC5B HSPB8 ID4 IGFBP5 IL20RA INPP5J KIAA1217 KRT19 LAMA5 LAMB2 LGR4 LIFR LIMCH1 LRIG3 MAGI1 MAL2 MARK1 MMP15 MPDZ MYH14 MYO6 NAV2 NCKAP1 NEBL NFIB NOTCH3 NPNT OBSL1 PARD3B PCDH1 PCDHB4 PCLO PLEKHA6 PLXNB1 PRICKLE2 PROX1 PTPN21 PTPRF PTPRU RBFOX2 RTKN SCARA3 SEMA3F SH3D19 SH3GL3 SHC2 SHROOM2 SHROOM3 SLC44A3 SOWAHB SOX9 SPTBN2 SYT7 TACC2 TACSTD2 TEAD1 TJP1 TMEM125 TRIM2 UNC13B UNC5B VWA1,B-cells,5
